,Provider.Number,Hospital.Name,Address.1,Address.2,Address.3,City,State,ZIP.Code,County.Name,Phone.Number,Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Hospital.30.Day.Readmission.Rates.from.Pneumonia,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Footnote...Hospital.30.Day.Readmission.Rates.from.Pneumonia
3563,390236,MEMORIAL HOSPITAL, INC  TOWANDA,91 HOSPITAL DRIVE,,,TOWANDA,PA,18848,BRADFORD,5702652191,16.3,No Different than U.S. National Rate,12.6,20.8,25,,13.0,No Different than U.S. National Rate,9.3,17.7,90,,13.4,No Different than U.S. National Rate,9.7,18.1,154,,Not Available,Number of Cases Too Small,Not Available,Not Available,10,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.3,No Different than U.S. National Rate,19.1,28.3,102,,18.3,No Different than U.S. National Rate,14.9,22.7,166,
3564,390237,REGIONAL HOSPITAL OF SCRANTON,746 JEFFERSON AVENUE,,,SCRANTON,PA,18501,LACKAWANNA,5703487100,14.6,No Different than U.S. National Rate,12.2,17.3,408,,9.3,Better than U.S. National Rate,7.7,11.1,716,,12.2,No Different than U.S. National Rate,10.2,14.5,461,,18.8,No Different than U.S. National Rate,16.2,21.8,471,,23.8,No Different than U.S. National Rate,21.3,26.5,860,,18.4,No Different than U.S. National Rate,15.7,21.4,469,
3565,390256,MILTON S HERSHEY MEDICAL CENTER,500 UNIVERSITY DRIVE,,,HERSHEY,PA,17033,DAUPHIN,7175318521,16.5,No Different than U.S. National Rate,13.6,20.0,252,,12.7,No Different than U.S. National Rate,10.4,15.6,421,,13.6,No Different than U.S. National Rate,11.2,16.3,386,,17.9,No Different than U.S. National Rate,15.1,21.4,310,,24.0,No Different than U.S. National Rate,21.1,27.1,542,,18.0,No Different than U.S. National Rate,15.4,21.2,424,
3566,390258,ST MARY MEDICAL CENTER,LANGHORNE-NEWTOWN RD,,,LANGHORNE,PA,19047,BUCKS,2157502003,14.4,No Different than U.S. National Rate,11.9,17.2,421,,11.9,No Different than U.S. National Rate,10.1,14.1,725,,11.7,No Different than U.S. National Rate,9.7,14.0,580,,18.8,No Different than U.S. National Rate,16.1,21.6,438,,27.1,No Different than U.S. National Rate,24.5,29.8,844,,19.7,No Different than U.S. National Rate,17.1,22.4,579,
3567,390263,LEHIGH VALLEY HOSPITAL - MUHLENBERG,2545 SCHOENERSVILLE ROAD,,,BETHLEHEM,PA,18017,LEHIGH,6104022273,13.3,No Different than U.S. National Rate,10.8,16.1,307,,9.7,No Different than U.S. National Rate,8.1,11.6,708,,8.0,Better than U.S. National Rate,6.2,10.1,434,,20.3,No Different than U.S. National Rate,17.1,23.7,300,,25.4,No Different than U.S. National Rate,22.9,28.1,818,,19.9,No Different than U.S. National Rate,17.1,22.7,452,
3568,390265,JEFFERSON REGIONAL MEDICAL CENTER,565 COAL VALLEY RD,,,PITTSBURGH,PA,15236,ALLEGHENY,4124695000,16.1,No Different than U.S. National Rate,12.6,20.2,127,,10.5,No Different than U.S. National Rate,8.7,12.6,503,,12.4,No Different than U.S. National Rate,10.0,15.2,324,,19.2,No Different than U.S. National Rate,15.5,23.5,134,,25.6,No Different than U.S. National Rate,22.8,28.7,591,,20.1,No Different than U.S. National Rate,17.0,23.8,327,
3570,390267,WESTERN PENNSYLVANIA HOSP FORBES REGIONAL CAMPUS,2570 HAYMAKER RD,,,MONROEVILLE,PA,15146,ALLEGHENY,4128582000,14.3,No Different than U.S. National Rate,11.7,17.4,175,,8.6,Better than U.S. National Rate,7.0,10.4,526,,10.4,No Different than U.S. National Rate,8.2,13.3,245,,19.0,No Different than U.S. National Rate,15.8,22.7,160,,27.1,No Different than U.S. National Rate,24.2,30.2,614,,20.0,No Different than U.S. National Rate,16.6,23.6,253,
3571,390268,MOUNT NITTANY MEDICAL CENTER,1800 EAST PARK AVE,,,STATE COLLEGE,PA,16803,CENTRE,8142317000,14.9,No Different than U.S. National Rate,11.8,18.7,131,,10.9,No Different than U.S. National Rate,8.7,13.4,359,,12.6,No Different than U.S. National Rate,10.2,15.5,366,,21.5,No Different than U.S. National Rate,17.4,26.1,98,,25.4,No Different than U.S. National Rate,22.1,28.9,414,,17.3,No Different than U.S. National Rate,14.6,20.6,358,
3572,390270,GEISINGER WYOMING VALLEY MEDICAL CENTER,100O EAST MOUNTAIN BOULEVARD,,,WILKES BARRE,PA,18711,LUZERNE,5708267300,16.3,No Different than U.S. National Rate,12.8,20.4,174,,12.3,No Different than U.S. National Rate,9.7,15.4,324,,13.5,No Different than U.S. National Rate,11.0,16.4,390,,18.1,No Different than U.S. National Rate,14.6,21.8,162,,23.7,No Different than U.S. National Rate,20.6,27.3,371,,18.8,No Different than U.S. National Rate,16.0,22.1,394,
3575,390290,HAHNEMANN UNIVERSITY HOSPITAL,230 NORTH BROAD STREET,,,PHILADELPHIA,PA,19102,PHILADELPHIA,2157627000,18.4,No Different than U.S. National Rate,14.5,23.0,85,,8.9,No Different than U.S. National Rate,6.6,11.8,213,,11.0,No Different than U.S. National Rate,7.8,15.0,90,,19.6,No Different than U.S. National Rate,16.0,23.7,125,,28.3,No Different than U.S. National Rate,24.7,31.8,333,,20.5,No Different than U.S. National Rate,16.5,25.1,102,
3576,390304,ROXBOROUGH MEMORIAL HOSPITAL,5800 RIDGE AVE,,,PHILADELPHIA,PA,19128,PHILADELPHIA,2154839900,14.7,No Different than U.S. National Rate,11.3,18.5,52,,13.5,No Different than U.S. National Rate,10.6,17.1,168,,11.0,No Different than U.S. National Rate,7.8,15.4,90,,21.9,No Different than U.S. National Rate,17.6,26.7,38,,28.8,No Different than U.S. National Rate,24.2,33.2,194,,20.8,No Different than U.S. National Rate,16.7,25.5,82,
3579,390313,SAINT CATHERINE MEDICAL CENTER FOUNTAIN SPRINGS,101 BROAD STREET,,,ASHLAND,PA,17921,SCHUYLKILL,5708752000,16.3,No Different than U.S. National Rate,12.2,21.0,41,,10.8,No Different than U.S. National Rate,7.8,14.8,112,,9.8,No Different than U.S. National Rate,7.2,13.4,106,,17.7,No Different than U.S. National Rate,13.8,21.9,28,,25.1,No Different than U.S. National Rate,20.9,29.7,145,,18.3,No Different than U.S. National Rate,14.9,22.6,119,
3600,391312,BROOKVILLE HOSPITAL,100 HOSPITAL ROAD,,,BROOKVILLE,PA,15825,JEFFERSON,8148492312,15.5,No Different than U.S. National Rate,11.9,19.8,47,,12.1,No Different than U.S. National Rate,9.0,16.1,114,,11.9,No Different than U.S. National Rate,8.9,15.6,151,,19.0,No Different than U.S. National Rate,15.2,23.0,39,,24.1,No Different than U.S. National Rate,20.1,28.6,129,,17.0,No Different than U.S. National Rate,13.7,20.8,152,
3601,391313,CHARLES COLE MEMORIAL HOSPITAL,1001 EAST SECOND STREET,,,COUDERSPORT,PA,16915,POTTER,8142749301,15.5,No Different than U.S. National Rate,12.0,20.1,37,,11.1,No Different than U.S. National Rate,8.1,14.9,100,,13.5,No Different than U.S. National Rate,10.4,17.1,169,,20.7,No Different than U.S. National Rate,16.6,25.4,32,,26.1,No Different than U.S. National Rate,21.8,30.6,122,,19.0,No Different than U.S. National Rate,15.7,23.0,180,
3604,400001,ASHFORD PRESBYTERIAN COMMUNITY HOSP,1451 ASHFORD AVENUE,,,SAN JUAN,PR,00907,SAN JUAN,7877212160,16.2,No Different than U.S. National Rate,12.1,21.6,39,,11.0,No Different than U.S. National Rate,7.9,15.1,73,,13.9,No Different than U.S. National Rate,9.7,19.0,82,,18.7,No Different than U.S. National Rate,14.9,23.8,28,,25.6,No Different than U.S. National Rate,21.0,30.9,83,,17.9,No Different than U.S. National Rate,13.9,22.5,76,
3606,400004,ASOCIACION HOSPITAL DEL MAESTRO, INC,SERGIO CUEVAS BUSTAMANTE STREET 550,,,SAN JUAN,PR,00936,SAN JUAN,7877586420,16.4,No Different than U.S. National Rate,12.0,22.1,37,,13.9,No Different than U.S. National Rate,10.3,18.6,102,,14.1,No Different than U.S. National Rate,10.5,18.8,109,,20.8,No Different than U.S. National Rate,16.2,25.9,34,,24.9,No Different than U.S. National Rate,20.6,29.9,111,,18.3,No Different than U.S. National Rate,14.3,23.0,99,
3609,400007,RYDER MEMORIAL HOSPITAL INC,355 AVE FONT MARTELO,,,HUMACAO,PR,00791,HUMACAO,7878520768,15.7,No Different than U.S. National Rate,12.1,20.2,67,,12.2,No Different than U.S. National Rate,8.6,17.2,56,,15.0,No Different than U.S. National Rate,10.7,20.9,64,,20.0,No Different than U.S. National Rate,16.3,24.4,60,,24.1,No Different than U.S. National Rate,19.6,29.3,64,,17.9,No Different than U.S. National Rate,14.1,22.4,57,
3614,400013,HOSPITAL MENONITA DE CAYEY,BO. RINCON SECTOR LAS LOMAS  KM.3.1 CARR 14,,,CAYEY,PR,00737,CAYEY,7875351001,16.2,No Different than U.S. National Rate,11.9,21.7,33,,11.0,No Different than U.S. National Rate,7.6,15.7,45,,14.9,No Different than U.S. National Rate,10.6,20.9,41,,20.2,No Different than U.S. National Rate,16.0,25.0,33,,24.1,No Different than U.S. National Rate,19.8,29.3,48,,18.5,No Different than U.S. National Rate,14.4,23.2,35,
3617,400016,AUXILIO MUTUO HOSPITAL,PONCE DE LEON AVENUE STOP 36 1/2 #735,,,HATO REY,PR,00918,SAN JUAN,7877582000,18.3,No Different than U.S. National Rate,14.6,22.4,134,,12.5,No Different than U.S. National Rate,9.8,15.8,304,,14.5,No Different than U.S. National Rate,11.2,18.4,270,,19.7,No Different than U.S. National Rate,16.1,24.0,107,,21.9,No Different than U.S. National Rate,18.7,25.7,328,,18.1,No Different than U.S. National Rate,14.8,21.9,241,
3618,400018,MENNONITE GENERAL HOSPITAL INC,CALLE JOSE C VASQUEZ BO. CAONILLAS,,,AIBONITO,PR,00705,AIBONITO,7875351001,14.3,No Different than U.S. National Rate,10.5,19.3,26,,10.7,No Different than U.S. National Rate,7.5,14.8,37,,11.4,No Different than U.S. National Rate,7.8,16.1,34,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.5,No Different than U.S. National Rate,19.0,28.6,42,,17.4,No Different than U.S. National Rate,13.4,22.3,31,
3619,400019,HOSPITAL PAVIA SANTURCE,CALLE PROFESOR AUGUSTO RODRIGUEZ #1462,,,FERNANDEZ JUNCOS,PR,00910,SAN JUAN,7877276060,15.6,No Different than U.S. National Rate,11.5,20.4,56,,12.0,No Different than U.S. National Rate,8.9,16.0,104,,17.1,Worse than U.S. National Rate,13.4,21.6,198,,20.4,No Different than U.S. National Rate,16.3,25.1,72,,26.8,No Different than U.S. National Rate,22.3,31.6,115,,19.7,No Different than U.S. National Rate,16.1,23.6,179,
3620,400021,HOSPITAL DE LA CONCEPCION,ROAD NUMBER 2 KM 173.4,,,SAN GERMAN,PR,00683,SAN GERMAN,7878921860,15.5,No Different than U.S. National Rate,11.7,20.4,81,,12.5,No Different than U.S. National Rate,8.8,17.5,71,,12.0,No Different than U.S. National Rate,8.4,16.9,79,,18.7,No Different than U.S. National Rate,15.1,23.0,80,,27.3,No Different than U.S. National Rate,22.6,32.6,77,,21.2,No Different than U.S. National Rate,16.9,26.3,87,
3621,400022,HOSPITAL DAMAS INC,PONCE BY PASS #2213,,,PONCE,PR,00717,PONCE,7878408460,17.7,No Different than U.S. National Rate,13.5,23.0,63,,13.9,No Different than U.S. National Rate,10.0,19.2,103,,11.7,No Different than U.S. National Rate,8.0,17.1,44,,20.6,No Different than U.S. National Rate,16.6,25.0,56,,23.3,No Different than U.S. National Rate,19.3,28.0,101,,17.5,No Different than U.S. National Rate,13.7,22.4,40,
3624,400032,HOSPITAL HERMANOS MELENDEZ INC,CARRETERA #2 KM 11 7,,,BAYAMON,PR,00960,BAYAMON,7876208181,17.2,No Different than U.S. National Rate,13.2,22.3,43,,11.5,No Different than U.S. National Rate,8.1,16.1,78,,13.1,No Different than U.S. National Rate,9.5,17.7,134,,18.2,No Different than U.S. National Rate,14.2,23.0,25,,24.4,No Different than U.S. National Rate,19.8,29.7,78,,19.0,No Different than U.S. National Rate,15.1,23.8,117,
3625,40003F,SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,,,SAN JUAN                      ,PR,00921,SAN JUAN,8004498729,15.8,No Different than U.S. National Rate,13.9,18.1,671,,11.9,No Different than U.S. National Rate,9.9,14.1,708,,17.1,Worse than U.S. National Rate,15.0,19.5,823,,25.6,Worse than U.S. National Rate,22.7,28.6,648,,30.4,Worse than U.S. National Rate,27.6,33.2,872,,25.8,Worse than U.S. National Rate,22.5,28.6,789,
3626,400044,SAN LUKE'S MEMORIAL HOSPITAL INC,TITO CASTRO AVE #917,,,PONCE,PR,00733,PONCE,7878442080,16.4,No Different than U.S. National Rate,12.5,21.0,93,,9.7,No Different than U.S. National Rate,6.9,13.4,140,,15.6,No Different than U.S. National Rate,10.9,21.9,71,,22.5,No Different than U.S. National Rate,18.3,26.8,100,,25.0,No Different than U.S. National Rate,20.9,29.1,180,,19.0,No Different than U.S. National Rate,14.8,24.0,59,
3629,400079,HOSP COMUNITARIO BUEN SAMARITANO,CARR.2 KM.1.4 AVE. SEVERIANO CUEVAS #18,,,AGUADILLA,PR,00603,AGUADILLA,7876580000,16.2,No Different than U.S. National Rate,12.1,21.5,40,,11.6,No Different than U.S. National Rate,8.0,16.6,63,,15.7,No Different than U.S. National Rate,10.6,22.4,31,,19.2,No Different than U.S. National Rate,15.4,23.5,35,,24.5,No Different than U.S. National Rate,20.2,29.4,71,,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
3630,400087,HOSPITAL DR CAYETANO COLL Y TOSTE,CARRETERA 129 KM.1 AVENIDA SAN LUIS,,,ARECIBO,PR,00613,ARECIBO,7876507272,14.0,No Different than U.S. National Rate,10.2,18.9,36,,13.4,No Different than U.S. National Rate,9.3,18.8,39,,16.4,No Different than U.S. National Rate,11.5,22.9,35,,19.2,No Different than U.S. National Rate,15.1,23.8,31,,26.2,No Different than U.S. National Rate,21.4,31.8,38,,18.9,No Different than U.S. National Rate,14.8,23.8,27,
3633,400103,SISTEMA INTEGRADOS DE SALUD DEL SUR OESTE INC,AVE HOSTOS 410,,,MAYAGUEZ,PR,00681,MAYAGUEZ,7876529200,15.5,No Different than U.S. National Rate,11.4,20.8,29,,11.3,No Different than U.S. National Rate,7.6,16.0,38,,14.6,No Different than U.S. National Rate,10.0,21.3,32,,20.6,No Different than U.S. National Rate,16.3,26.0,27,,25.0,No Different than U.S. National Rate,20.4,29.9,42,,19.8,No Different than U.S. National Rate,15.5,24.8,26,
3636,400106,METROPOLITAN HOSPITAL,CARRETERA 21 1785 URB LAS LOMAS,,,SAN JUAN,PR,00915,SAN JUAN,7877829999,16.8,No Different than U.S. National Rate,12.6,21.7,26,,12.1,No Different than U.S. National Rate,8.7,16.9,66,,17.0,Worse than U.S. National Rate,13.1,22.0,134,,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.9,No Different than U.S. National Rate,21.3,31.1,70,,21.2,No Different than U.S. National Rate,17.0,26.1,123,
3637,400109,HOSPITAL HIMA-SAN PABLO BAYAMON,CALLE SANTA CRUZ NUMERO 70  URB SANTA CRUZ,,,BAYAMON,PR,00960,BAYAMON,7876204747,15.9,No Different than U.S. National Rate,12.2,20.2,121,,11.8,No Different than U.S. National Rate,8.8,15.7,183,,15.5,No Different than U.S. National Rate,11.7,20.0,156,,23.0,No Different than U.S. National Rate,18.8,27.3,129,,26.0,No Different than U.S. National Rate,22.0,30.5,202,,17.6,No Different than U.S. National Rate,14.3,21.6,137,
3638,400110,HOSPITAL METROPOLITANO DR TITO MATTEI,ROAD 128 KM 1.0,,,YAUCO,PR,00698,YAUCO,7878561000,16.5,No Different than U.S. National Rate,12.2,22.3,35,,11.2,No Different than U.S. National Rate,7.6,16.2,33,,14.2,No Different than U.S. National Rate,9.8,19.9,32,,20.1,No Different than U.S. National Rate,16.1,24.9,32,,26.1,No Different than U.S. National Rate,21.1,31.8,43,,20.4,No Different than U.S. National Rate,15.9,25.8,27,
3639,400111,HOSPITAL SAN CARLOS BORROMEO, CALLE CONCEPCION VERA AYALA #550 S,,,MOCA,PR,00676,MOCA,7878778000,16.2,No Different than U.S. National Rate,12.4,20.7,26,,12.0,No Different than U.S. National Rate,8.3,17.2,37,,17.3,No Different than U.S. National Rate,11.9,24.7,29,,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.7,No Different than U.S. National Rate,20.0,30.0,40,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
3640,400112,HOSPITAL UPR, DR  FEDERICO TRILLA,CARR 3 KM 8  3 AVE 65TH INFANTERIA       BOX 6021,,,CAROLINA,PR,00984,CAROLINA,7877571800,14.1,No Different than U.S. National Rate,10.6,18.3,39,,10.6,No Different than U.S. National Rate,7.0,15.4,25,,16.5,No Different than U.S. National Rate,11.8,22.7,52,,19.1,No Different than U.S. National Rate,14.9,24.1,31,,26.4,No Different than U.S. National Rate,21.3,32.6,29,,18.5,No Different than U.S. National Rate,14.0,23.4,42,
3641,400113,HOSPITAL SAN CRISTOBAL,CARR 506 KM 1 0,,,COTO LAUREL,PR,00780,PONCE,7878482100,16.1,No Different than U.S. National Rate,12.0,20.9,29,,12.1,No Different than U.S. National Rate,8.4,17.2,45,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,19,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,28.1,No Different than U.S. National Rate,22.9,33.9,48,,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
3642,400114,MANATI MEDICAL CENTER DR OTERO LOPEZ,CALLE HERNANDEZ CARRION URB ATENAS,,,MANATI,PR,00674,MANATI,7876213700,15.7,No Different than U.S. National Rate,11.4,21.2,26,,12.1,No Different than U.S. National Rate,8.7,16.7,101,,15.7,No Different than U.S. National Rate,11.2,21.3,87,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27.0,No Different than U.S. National Rate,22.8,31.3,123,,19.9,No Different than U.S. National Rate,15.9,24.6,76,
3644,400117,HOSPITAL DR SUSONI INC,55 PALM ST,,,ARECIBO,PR,00614,ARECIBO,7876501031,14.5,No Different than U.S. National Rate,10.4,19.7,26,,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.2,No Different than U.S. National Rate,8.8,19.4,27,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
3645,400118,DOCTORS' CENTER HOSPITAL, INC,MARGINAL CARRETERA NO 2, KM 47 7,,,MANATI,PR,00674,MANATI,7878543322,18.6,No Different than U.S. National Rate,14.1,24.0,33,,12.6,No Different than U.S. National Rate,9.1,17.5,83,,14.4,No Different than U.S. National Rate,10.0,20.1,51,,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,30.1,Worse than U.S. National Rate,25.2,35.2,93,,20.1,No Different than U.S. National Rate,16.0,25.0,43,
3646,400120,HIMA SAN PABLO-CAGUAS,AVE LUIS MUNOZ MARIN,,,CAGUAS,PR,00725,CAGUAS,7876533434,17.7,No Different than U.S. National Rate,13.4,23.0,70,,12.6,No Different than U.S. National Rate,9.1,17.5,111,,12.3,No Different than U.S. National Rate,8.7,16.6,129,,21.3,No Different than U.S. National Rate,16.8,26.4,50,,26.5,No Different than U.S. National Rate,22.1,31.5,122,,17.4,No Different than U.S. National Rate,13.8,21.7,117,
3649,400124,CENTRO CARDIOVASCULAR,AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM,,,RIO PIEDRAS,PR,00936,SAN JUAN,7877548500,16.0,No Different than U.S. National Rate,11.9,21.8,45,,12.9,No Different than U.S. National Rate,9.1,18.0,70,,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,18.9,No Different than U.S. National Rate,14.9,23.5,70,,23.1,No Different than U.S. National Rate,18.9,28.1,67,,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
3655,410001,MEMORIAL HOSPITAL OF RHODE ISLAND,111 BREWSTER STREET,,,PAWTUCKET,RI,02860,PROVIDENCE,4017292000,14.9,No Different than U.S. National Rate,11.3,19.1,68,,12.8,No Different than U.S. National Rate,10.1,16.0,254,,12.8,No Different than U.S. National Rate,9.8,16.3,216,,20.8,No Different than U.S. National Rate,16.6,25.5,49,,28.4,No Different than U.S. National Rate,24.6,32.4,310,,22.1,No Different than U.S. National Rate,18.2,26.3,221,
3656,410004,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,,,PROVIDENCE,RI,02908,PROVIDENCE,4014562000,16.3,No Different than U.S. National Rate,12.9,20.4,93,,10.8,No Different than U.S. National Rate,8.3,13.8,173,,11.6,No Different than U.S. National Rate,9.1,14.8,226,,19.0,No Different than U.S. National Rate,15.3,23.1,80,,26.1,No Different than U.S. National Rate,22.2,30.3,202,,16.9,No Different than U.S. National Rate,13.9,20.6,238,
3657,410005,ST JOSEPH HEALTH SERVICES OF RI,200 HIGH SERVICE AVENUE,,,NORTH PROVIDENCE,RI,02904,PROVIDENCE,4014563000,15.5,No Different than U.S. National Rate,12.1,19.2,101,,11.9,No Different than U.S. National Rate,9.5,14.8,306,,14.6,No Different than U.S. National Rate,11.7,18.1,256,,20.1,No Different than U.S. National Rate,16.0,24.5,71,,26.7,No Different than U.S. National Rate,23.2,30.5,342,,20.3,No Different than U.S. National Rate,16.9,24.0,254,
3658,410006,NEWPORT HOSPITAL,FRIENDSHIP STREET,,,NEWPORT,RI,02840,NEWPORT,4018466400,15.6,No Different than U.S. National Rate,11.8,20.3,57,,13.7,No Different than U.S. National Rate,10.8,17.3,221,,10.0,No Different than U.S. National Rate,7.7,12.7,243,,18.8,No Different than U.S. National Rate,14.7,23.5,31,,23.9,No Different than U.S. National Rate,20.5,28.0,236,,18.5,No Different than U.S. National Rate,15.5,22.1,262,
3659,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,,,PROVIDENCE,RI,02902,PROVIDENCE,4014444000,13.9,No Different than U.S. National Rate,11.4,16.6,419,,10.8,No Different than U.S. National Rate,9.0,12.9,744,,11.3,No Different than U.S. National Rate,9.3,13.5,536,,21.4,No Different than U.S. National Rate,18.5,24.6,473,,25.4,No Different than U.S. National Rate,23.0,27.9,953,,22.4,Worse than U.S. National Rate,19.3,25.5,559,
3660,410008,SOUTH COUNTY HOSPITAL INC,100 KENYON AVE,,,WAKEFIELD,RI,02879,WASHINGTON,4017828000,14.7,No Different than U.S. National Rate,11.0,19.1,75,,15.6,Worse than U.S. National Rate,12.2,19.3,205,,14.9,No Different than U.S. National Rate,11.4,19.1,199,,19.6,No Different than U.S. National Rate,15.7,24.3,53,,25.3,No Different than U.S. National Rate,21.6,29.5,229,,18.2,No Different than U.S. National Rate,14.9,22.2,194,
3661,410009,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,,,WARWICK,RI,02886,KENT,4017377000,14.4,No Different than U.S. National Rate,11.6,17.5,206,,11.3,No Different than U.S. National Rate,9.3,13.6,532,,10.4,No Different than U.S. National Rate,8.5,12.8,486,,20.0,No Different than U.S. National Rate,16.6,23.7,159,,26.0,No Different than U.S. National Rate,23.3,28.9,638,,20.0,No Different than U.S. National Rate,17.4,22.9,503,
3663,410011,LANDMARK MEDICAL CENTER,  INC,115 CASS AVE,,,WOONSOCKET,RI,02895,PROVIDENCE,4017694100,14.2,No Different than U.S. National Rate,11.0,17.8,144,,12.9,No Different than U.S. National Rate,10.5,15.8,319,,14.8,No Different than U.S. National Rate,11.5,18.7,202,,19.0,No Different than U.S. National Rate,15.2,23.2,116,,23.9,No Different than U.S. National Rate,20.8,27.3,364,,18.7,No Different than U.S. National Rate,15.3,22.6,186,
3664,410012,MIRIAM HOSPITAL,164 SUMMIT AVENUE,,,PROVIDENCE,RI,02906,PROVIDENCE,4017932500,11.9,Better than U.S. National Rate,9.5,14.8,327,,11.6,No Different than U.S. National Rate,9.5,14.1,480,,11.9,No Different than U.S. National Rate,9.9,14.3,523,,19.5,No Different than U.S. National Rate,16.8,22.8,470,,25.5,No Different than U.S. National Rate,22.7,28.5,627,,22.2,Worse than U.S. National Rate,18.9,25.2,556,
